id,growth_rate,length_weight
Efxl-07-1604,1,0
Efxl-07-1605,1,1
Efxl-07-1606,1,0
Efxl-07-1607,1,0
Efxl-07-1608,0,0
Efxl-07-1609,0,0
Efxl-07-1610,1,0
Efxl-07-1611,1,0
Efxl-07-1612,1,0
Efxl-07-1613,0,0
Efxl-07-1614,0,1
Efxl-07-1615,1,0
Efxl-07-1616,1,0
Efxl-07-1617,0,0
Efxl-07-1618,0,0
Efxl-07-1619,0,1
Efxl-07-1620,0,0
Efxl-07-1621,0,0
Efxl-07-1622,1,0
Efxl-07-1623,1,0
Efxl-07-1624,1,1
Efxl-07-1625,1,1
Efxl-07-1626,1,0
Efxl-07-1627,0,0
Efxl-07-1628,0,0
Efxl-07-1629,1,0
Efxl-07-1630,1,0
Efxl-07-1631,1,0
Efxl-07-1632,1,0
Efxl-07-1633,1,0
Efxl-07-1634,1,0
Efxl-07-1635,0,0
Efxl-07-1636,0,1
Efxl-07-1637,0,1
Efxl-07-1638,1,0
Efxl-07-1639,0,1
Efxl-07-1640,1,1
Efxl-07-1641,1,0
Efxl-07-1642,1,0
Efxl-07-1643,0,1
Efxl-07-1644,0,0
Efxl-07-1645,0,0
Efxl-07-1646,1,0
Efxl-07-1647,0,0
Efxl-07-1648,0,0
Efxl-07-1649,1,0
Efxl-07-1650,1,1
Efxl-07-1651,0,0
Efxl-07-1652,1,0
Efxl-07-1653,1,0
Efxl-07-1654,0,0
Efxl-07-1655,1,0
Efxl-07-1656,1,0
Efxl-07-1657,1,0
Efxl-07-1658,1,0
Efxl-07-1659,0,1
Efxl-07-1660,0,0
Efxl-07-1661,0,1
Efxl-07-1662,1,0
Efxl-07-1663,0,0
Efxl-07-1664,0,0
Efxl-07-1665,1,0
Efxl-07-1666,0,1
Efxl-07-1667,0,0
Efxl-07-1668,1,1
Efxl-07-1669,1,0
Efxl-07-1670,0,0
Efxl-07-1671,0,0
Efxl-07-1672,1,1
Efxl-07-1673,1,1
Efxl-07-1674,0,1
Efxl-07-1675,1,1
Efxl-07-1676,1,1
Efxl-07-1677,1,0
Efxl-07-1678,1,1
Efxl-07-1679,1,0
Efxl-07-1680,1,0
Efxl-07-1681,0,0
Efxl-07-1682,1,1
Efxl-07-1683,0,1
Efxl-07-1684,1,0
Efxl-07-1685,1,1
Efxl-07-1686,1,0
Efxl-07-1687,0,1
Efxl-07-1688,1,0
Efxl-07-1689,1,0
Efxl-07-1690,1,1
Efxl-07-1691,0,0
Efxl-07-1692,1,0
Efxl-07-1693,0,0
Efxl-07-1694,1,0
Efxl-07-1695,0,0
Efxl-07-1696,0,1
Efxl-07-1697,0,0
Efxl-07-1698,0,0
Efxl-07-1699,1,0
Efxl-08-1700,1,0
Efxl-08-1701,0,0
Efxl-08-1702,1,0
Efxl-08-1703,1,1
Efxl-08-1704,0,0
Efxl-08-1705,1,0
Efxl-08-1706,1,0
Efxl-08-1707,1,1
Efxl-08-1708,0,1
Efxl-08-1709,1,0
Efxl-08-1710,1,0
Efxl-08-1711,0,0
Efxl-08-1712,0,1
Efxl-08-1713,0,0
Efxl-08-1714,1,0
Efxl-08-1715,1,0
Efxl-08-1716,0,1
Efxl-08-1717,1,0
Efxl-08-1718,1,1
Efxl-08-1719,0,0
Efxl-08-1720,1,0
Efxl-08-1721,0,0
Efxl-08-1722,0,0
Efxl-08-1723,1,1
Efxl-08-1724,1,1
Efxl-08-1725,1,1
Efxl-08-1726,0,1
Efxl-08-1727,0,0
Efxl-08-1728,0,1
Efxl-08-1729,1,0
Efxl-08-1730,1,0
Efxl-08-1731,0,1
Efxl-08-1732,1,1
Efxl-08-1733,1,1
Efxl-08-1734,1,0
Efxl-08-1735,1,0
Efxl-08-1736,1,1
Efxl-08-1737,1,1
Efxl-08-1738,1,1
Efxl-08-1739,0,0
Efxl-08-1740,0,0
Efxl-08-1741,0,1
Efxl-08-1742,1,0
Efxl-08-1743,0,1
Efxl-08-1744,0,1
Efxl-08-1745,1,0
Efxl-08-1746,0,1
Efxl-08-1747,1,1
Efxl-08-1748,1,1
Efxl-08-1749,1,0
Efxl-08-1750,1,0
Efxl-08-1751,1,1
Efxl-08-1752,0,1
Efxl-08-1753,0,1
Efxl-08-1754,0,0
Efxl-08-1755,1,1
Efxl-08-1756,1,0
Efxl-08-1757,1,0
Efxl-08-1758,0,0
Efxl-08-1759,1,0
Efxl-08-1760,1,1
Efxl-08-1761,0,0
Efxl-08-1762,0,1
Efxl-08-1763,1,1
Efxl-08-1764,0,1
Efxl-08-1765,1,1
Efxl-08-1766,0,1
Efxl-08-1767,0,1
Efxl-08-1768,0,1
Efxl-08-1769,0,1
Efxl-08-1770,0,1
Efxl-08-1771,0,0
Efxl-08-1772,1,1
Efxl-08-1773,1,0
Efxl-08-1774,0,1
Efxl-08-1775,1,1
Efxl-08-1776,1,0
Efxl-08-1777,1,0
Efxl-08-1778,0,1
Efxl-08-1779,1,0
Efxl-08-1780,0,1
Efxl-08-1781,0,1
Efxl-08-1782,1,1
Efxl-08-1783,0,1
Efxl-08-1784,0,0
Efxl-08-1785,0,1
Efxl-08-1786,1,1
Efxl-08-1787,1,1
Efxl-08-1788,0,1
Efxl-08-1789,0,1
Efxl-08-1790,0,1
Efxl-08-1791,1,0
Efxl-08-1792,0,1
Efxl-08-1793,1,1
Efxl-08-1794,1,0
Efxl-08-1795,1,1
Efxl-09-1796,1,1
Efxl-09-1797,0,0
Efxl-09-1798,1,0
Efxl-09-1799,1,0
Efxl-09-1800,1,0
Efxl-09-1801,0,1
Efxl-09-1802,0,1
Efxl-09-1803,1,0
Efxl-09-1804,0,1
Efxl-09-1805,1,1
Efxl-09-1806,0,1
Efxl-09-1807,0,1
Efxl-09-1808,1,1
Efxl-09-1809,1,1
Efxl-09-1810,1,1
Efxl-09-1811,1,0
Efxl-09-1812,1,1
Efxl-09-1813,1,0
Efxl-09-1814,0,0
Efxl-09-1815,1,1
Efxl-09-1816,1,1
Efxl-09-1817,0,0
Efxl-09-1818,0,0
Efxl-09-1819,1,0
Efxl-09-1820,1,1
Efxl-09-1821,0,1
Efxl-09-1822,1,1
Efxl-09-1823,0,1
Efxl-09-1824,0,1
Efxl-09-1825,1,1
Efxl-09-1826,0,1
Efxl-09-1827,1,0
Efxl-09-1828,1,0
Efxl-09-1829,1,1
Efxl-09-1830,1,1
Efxl-09-1831,0,1
Efxl-09-1832,1,0
Efxl-09-1833,0,1
Efxl-09-1834,0,1
Efxl-09-1835,0,0
Efxl-09-1836,1,0
Efxl-09-1837,0,1
Efxl-09-1838,1,1
Efxl-09-1839,0,0
Efxl-09-1840,1,1
Efxl-09-1841,0,1
Efxl-09-1842,1,1
Efxl-09-1843,1,0
Efxl-09-1844,0,1
Efxl-09-1845,1,1
Efxl-09-1846,0,1
Efxl-09-1847,0,0
Efxl-09-1848,1,1
Efxl-09-1849,0,0
Efxl-09-1850,1,1
Efxl-09-1851,0,0
Efxl-09-1852,0,1
Efxl-09-1853,0,1
Efxl-09-1854,1,0
Efxl-09-1855,1,0
Efxl-09-1856,1,1
Efxl-09-1857,1,1
Efxl-09-1858,1,0
Efxl-09-1859,1,1
Efxl-09-1860,1,1
Efxl-09-1861,0,1
Efxl-09-1862,1,0
Efxl-09-1863,0,1
Efxl-09-1864,0,1
Efxl-09-1865,1,1
Efxl-09-1866,0,1
Efxl-09-1867,0,0
Efxl-09-1868,0,1
Efxl-09-1869,0,1
Efxl-09-1870,0,0
Efxl-09-1871,0,0
Efxl-09-1872,0,0
Efxl-09-1873,1,1
Efxl-09-1874,0,1
Efxl-09-1875,1,0
Efxl-09-1876,0,0
Efxl-09-1877,0,0
Efxl-09-1878,0,0
Efxl-09-1879,0,1
Efxl-09-1880,0,1
Efxl-09-1881,0,1
Efxl-09-1882,1,1
Efxl-09-1883,0,1
Efxl-09-1884,0,1
Efxl-09-1885,0,1
Efxl-09-1886,0,1
Efxl-09-1887,1,1
Efxl-09-1889,1,1
Efxl-09-1890,0,1
Efxl-09-1891,1,0
Efxl-09-1892,0,0
